"";"title";"Awards"
"738";"Camelot";"3"
"739";"Bonnie and Clyde";"2"
"740";"Guess Who's Coming to Dinner";"2"
"741";"Doctor Dolittle";"2"
"742";"The Graduate";"1"
"743";"Thoroughly Modern Millie";"1"
"744";"Cool Hand Luke";"1"
"745";"The Dirty Dozen";"1"
"746";"A Place to Stand";"1"
"747";"The Anderson Platoon (La Section Anderson)";"1"
"748";"The Box";"1"
"749";"Closely Watched Trains (Ostre sledované vlaky)";"1"
"750";"The Redwoods";"1"
"751";"A Man for All Seasons";"6"
"752";"Who's Afraid of Virginia Woolf?";"5"
"753";"Grand Prix";"3"
"754";"Fantastic Voyage";"2"
"755";"A Man and a Woman";"2"
"756";"Born Free";"2"
"757";"The Fortune Cookie";"1"
"758";"A Funny Thing Happened on the Way to the Forum";"1"
"759";"A Herb Alpert and the Tijuana Brass Double Feature";"1"
"760";"The War Game";"1"
"761";"Wild Wings";"1"
"762";"A Year Toward Tomorrow";"1"
"763";"The Sound of Music";"5"
"764";"Doctor Zhivago";"5"
"765";"Darling";"3"
"766";"Ship of Fools";"2"
"767";"Cat Ballou";"1"
"768";"The Great Race";"1"
"769";"A Patch of Blue";"1"
"770";"A Thousand Clowns";"1"
"771";"The Shop on Main Street (Obchod na korze)";"1"
"772";"The Sandpiper";"1"
"773";"The Eleanor Roosevelt Story";"1"
"774";"To Be Alive!";"1"
"775";"7 Faces of Dr. Lao";"0 (1)"
"776";"7th Heaven";"3"
"777";"20,000 Leagues Under the Sea";"2"
"778";"Adventures of Don Juan";"1"
"779";"The Adventures of Robin Hood";"3"
"780";"The African Queen";"1"
"781";"Air Force";"1"
"782";"The Alamo";"1"
"783";"The Alaskan Eskimo";"1"
"784";"Albert Schweitzer";"1"
"785";"Alexander's Ragtime Band";"1"
"786";"All About Eve";"6"
"787";"All Quiet on the Western Front";"2"
"788";"All That Money Can Buy";"1"
"789";"All the King's Men";"3"
"790";"Ama Girls";"1"
"791";"America America";"1"
"792";"An American in Paris";"6"
"793";"Amphibious Fighters";"1"
"794";"Anastasia";"1"
"795";"Anchors Aweigh";"1"
"796";"Anna and the King of Siam";"2"
"797";"Annie Get Your Gun";"1"
"798";"Anthony Adverse";"4"
"799";"The Apartment";"5"
"800";"Aquatic House Party";"1"
